Name,Length,Voltage,Current,Power
21_04_19_169368_LED_set_pixels_cpp_7,0:00:03.018243,5.112,297.092,1514.751
21_04_22_394023_LED_set_pixels_cpp_8,0:00:03.073416,5.109,304.955,1577.183
21_04_52_386975_LED_set_pixels_cpp_6,0:00:03.067811,5.115,286.383,1463.707
21_04_55_608312_LED_set_pixels_cpp_7,0:00:03.065785,5.113,298.679,1503.986
21_04_58_829277_LED_set_pixels_cpp_8,0:00:03.062321,5.111,306.619,1581.179
21_05_28_823884_LED_set_pixels_cpp_6,0:00:03.054740,5.114,290.648,1479.322
21_05_32_047597_LED_set_pixels_cpp_7,0:00:03.054463,5.113,296.208,1510.023
21_05_35_270967_LED_set_pixels_cpp_8,0:00:03.050369,5.111,307.216,1578.677
21_06_05_266601_LED_set_pixels_cpp_6,0:00:03.040829,5.115,286.099,1469.863
21_06_08_486927_LED_set_pixels_cpp_7,0:00:03.041010,5.113,295.610,1516.537
21_06_11_710037_LED_set_pixels_cpp_8,0:00:03.035836,5.110,305.273,1582.639
21_06_41_716163_LED_set_pixels_cpp_6,0:00:03.017869,5.115,286.426,1464.326
21_06_44_880118_LED_set_pixels_cpp_7,0:00:03.017634,5.113,295.289,1517.373
21_06_48_101512_LED_set_pixels_cpp_8,0:00:03.071990,5.111,304.499,1577.111
21_07_18_091055_LED_set_pixels_cpp_6,0:00:03.067514,5.115,287.399,1462.713
21_07_21_312000_LED_set_pixels_cpp_7,0:00:03.069613,5.113,295.478,1511.315
21_07_24_534714_LED_set_pixels_cpp_8,0:00:03.074762,5.110,304.388,1577.757
21_07_54_525409_LED_set_pixels_cpp_6,0:00:03.061051,5.115,286.695,1464.368
21_07_57_747193_LED_set_pixels_cpp_7,0:00:03.064148,5.113,295.589,1509.824
21_08_00_967542_LED_set_pixels_cpp_8,0:00:03.062445,5.110,305.718,1573.679
21_08_30_966135_LED_set_pixels_cpp_6,0:00:03.044822,5.115,289.257,1488.048
21_08_34_187097_LED_set_pixels_cpp_7,0:00:03.050522,5.113,296.959,1512.200
21_08_37_408254_LED_set_pixels_cpp_8,0:00:03.049849,5.110,309.088,1575.751
21_09_07_401142_LED_set_pixels_cpp_6,0:00:03.044230,5.115,287.162,1457.715
21_09_10_621549_LED_set_pixels_cpp_7,0:00:03.045797,5.113,296.657,1514.343
21_09_13_843595_LED_set_pixels_cpp_8,0:00:03.043990,5.111,305.748,1567.023
21_09_43_849905_LED_set_pixels_cpp_6,0:00:03.020643,5.115,288.171,1469.075
21_09_47_074052_LED_set_pixels_cpp_7,0:00:03.025583,5.113,297.416,1511.558
21_09_50_297037_LED_set_pixels_cpp_8,0:00:03.017678,5.110,306.920,1563.628
21_10_00_690033_scheduling_cpp,0:00:10.038821,5.093,382.672,1949.200
